country,role,level,min_eur,max_eur,range_eur
Finland,Backend Developer,co,65,82,17
Finland,BI Analyst,sme,42,50,8
Finland,BI Analyst,st,45,54,9
Finland,BI Analyst,co,46,55,9
Finland,BI Developer,sme,42,47,5
Finland,BI Developer,st,54,60,6
Finland,BI Developer,co,56,63,7
Finland,BI Manager,sme,64,74,10
Finland,BI Manager,st,68,79,11
Finland,BI Manager,co,87,97,10
Finland,Cyber Security Analyst,sme,50,75,25
Finland,Cyber Security Analyst,st,56,62,6
Finland,Cyber Security Analyst,co,57,63,6
Finland,Data Analyst,sme,49,54,5
Finland,Data Analyst,st,51,58,7
Finland,Data Analyst,co,52,59,7
Finland,Data Engineer,sme,41,56,15
Finland,Data Engineer,st,53,71,18
Finland,Data Engineer,co,63,81,18
Finland,Devops Engineer,sme,48,60,12
Finland,Devops Engineer,st,56,72,16
Finland,Devops Engineer,co,66,88,22
Finland,Frontend Developer,sme,46,55,9
Finland,Frontend Developer,st,57,69,12
Finland,Frontend Developer,co,68,77,9
Finland,Full Stack Developer,sme,45,58,13
Finland,Full Stack Developer,st,60,75,15
Finland,Full Stack Developer,co,63,78,15
Finland,Machine Learning Engineer,sme,50,64,14
Finland,Machine Learning Engineer,st,62,78,16
Finland,Machine Learning Engineer,co,68,80,12
Finland,Network Architect,sme,48,54,6
Finland,Network Architect,st,54,63,9
Finland,Network Architect,co,69,83,14
Finland,Python Developer,sme,35,44,9
Finland,Python Developer,st,49,60,11
Finland,Python Developer,co,51,63,12
Finland,QA Analyst,sme,52,58,6
Finland,QA Analyst,st,54,60,6
Finland,QA Analyst,co,54,61,7
Finland,QA Engineer,sme,42,45,3
Finland,QA Engineer,st,49,55,6
Finland,QA Engineer,co,53,56,3
Finland,QA Manager,sme,64,72,8
Finland,QA Manager,st,78,89,11
Finland,QA Manager,co,77,90,13
Finland,Salesforce Developer,sme,43,48,5
Finland,Salesforce Developer,st,40,48,8
Finland,Salesforce Developer,co,44,55,11
Finland,Scrum Master,sme,46,57,11
Finland,Scrum Master,st,50,61,11
Finland,Scrum Master,co,59,73,14
Finland,Software Developer,sme,44,50,6
Finland,Software Developer,st,63,73,10
Finland,Software Developer,co,66,78,12
Finland,Software Engineer,sme,44,60,16
Finland,Software Engineer,st,48,65,17
Finland,Software Engineer,co,67,86,19
Finland,Software Engineering Manager,sme,56,62,6
Finland,Software Engineering Manager,st,69,82,13
Finland,Software Engineering Manager,co,96,113,17
Finland,Solutions Analyst,sme,48,63,15
Finland,Solutions Analyst,st,52,62,10
Finland,Solutions Analyst,co,51,62,11
Finland,Systems Architect,sme,50,58,8
Finland,Systems Architect,st,52,65,13
Finland,Systems Architect,co,95,115,20
Finland,Systems Engineer,sme,48,62,14
Finland,Systems Engineer,st,60,71,11
Finland,Systems Engineer,co,64,78,14
Finland,Test Automation Engineer,sme,35,44,9
Finland,Test Automation Engineer,st,38,45,7
Finland,Test Automation Engineer,co,51,58,7
France,Applications Developer,sme,46,53,7
France,Applications Developer,st,52,59,7
France,Applications Developer,co,50,56,6
France,Automation Engineer,sme,40,47,7
France,Automation Engineer,st,52,59,7
France,Automation Engineer,co,53,61,8
France,Backend Developer,sme,52,67,15
France,Backend Developer,st,71,88,17
France,Backend Developer,co,85,105,20
